pmid	title	doi	journal	pub_year	cancer_type	modality	task_type	include_decision	exclusion_reason	probable_relevance_score
28891455	Epigenetic Biomarkers for Risk Assessment of Particulate Matter Associated Lung Cancer.	10.2174/1389450118666170911114342	Current drug targets	2018	lung	other	screening	True		0.5
35941262	cfDNA methylome profiling for detection and subtyping of small cell lung cancers.	10.1038/s43018-022-00415-9	Nature cancer	2022	lung	cfDNA_methylation	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
37567793	Accurate classification of pulmonary nodules by a combined model of clinical, imaging, and cell-free DNA methylation biomarkers: a model development and external validation study.	10.1016/S2589-7500(23)00125-5	The Lancet. Digital health	2023	lung	cfDNA_methylation	early_detection	True		1.0
34131323	Ultrasensitive detection of circulating tumour DNA via deep methylation sequencing aided by machine learning.	10.1038/s41551-021-00746-5	Nature biomedical engineering	2021	lung	other	screening	True		0.5
34258160	A Noninvasive Multianalytical Approach for Lung Cancer Diagnosis of Patients with Pulmonary Nodules.	10.1002/advs.202100104	Advanced science (Weinheim, Baden-Wurttemberg, Germany)	2021	lung	cfDNA_methylation	diagnosis	True		1.0
39431470	Evaluation of a multimodal ctDNA-based assay for detection of aggressive cancers lacking standard screening tests.	10.1080/14796694.2024.2413266	Future oncology (London, England)	2025	lung	cfDNA_methylation	screening	True		1.0
37060900	The DNA methylome of human vascular endothelium and its use in liquid biopsies.	10.1016/j.medj.2023.03.006	Med (New York, N.Y.)	2023	lung	cfDNA_methylation	early_detection	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
38812772	Diagnostic value of combined detection of plasma cfDNA concentration and integrity in NSCLC.	10.2217/lmt-2023-0009	Lung cancer management	2024	lung	cfDNA_methylation	screening	True		0.8
39146624	Non-invasive diagnosis of pulmonary nodules by circulating tumor DNA methylation: A prospective multicenter study.	10.1016/j.lungcan.2024.107930	Lung cancer (Amsterdam, Netherlands)	2024	lung	other	diagnosis	True		0.4
39705824	A combined model of circulating tumor DNA methylated SHOX2/SCT/HOXA7 and clinical features facilitates the discrimination of malignant from benign pulmonary nodules.	10.1016/j.lungcan.2024.108064	Lung cancer (Amsterdam, Netherlands)	2025	lung	LDCT	diagnosis	True		0.6
37318381	Circulating cell-free DNA sequencing for early detection of lung cancer.	10.1080/14737159.2023.2224504	Expert review of molecular diagnostics	2023	lung	cfDNA_methylation	screening	True		1.0
41323119	Risk-stratified classification of pulmonary nodule malignancy via a machine learning model integrating imaging and cell-free DNA: a model development and validation study (DECIPHER-NODL).	10.1016/j.lanwpc.2025.101730	The Lancet regional health. Western Pacific	2025	lung	cfDNA_methylation	screening	True		1.0
41763445	Multi-omics biomarkers in cadmium-related lung toxicity and carcinogenesis.	10.1016/j.cca.2026.120933	Clinica chimica acta; international journal of clinical chemistry	2026	other	cfDNA_methylation	screening	True		0.75
40737714	Pan-cancer methylation analysis of circulating cell-free DNA.	10.1016/j.cancergen.2025.07.014	Cancer genetics	2025	lung	cfDNA_methylation	screening	True		0.8
38743638	Ultrasensitive Detection of Tumor Suppressor Gene Methylation by Piezoelectric Sensing Based on Enrichment of Transcription Activator-Like Effectors.	10.1021/acs.analchem.4c00484	Analytical chemistry	2024	lung	cfDNA_methylation	screening	True		0.8
38582623	Cell-free DNA methylation in the clinical management of lung cancer.	10.1016/j.molmed.2024.03.007	Trends in molecular medicine	2024	lung	cfDNA_methylation	screening	False	Review/meta-analysis/editorial: matched '\bstate.of.the.art\b'	0.0
40255184	Genomics and the early diagnosis of lung cancer.	10.1080/17410541.2025.2494982	Personalized medicine	2025	lung	cfDNA_methylation	screening	True		1.0
33036415	SMAD3 Hypomethylation as a Biomarker for Early Prediction of Colorectal Cancer.	10.3390/ijms21197395	International journal of molecular sciences	2020	lung	cfDNA_methylation	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
34251068	Prediction model for malignant pulmonary nodules based on cfMeDIP-seq and machine learning.	10.1111/cas.15052	Cancer science	2021	other	cfDNA_methylation	diagnosis	True		0.4
41737326	Exploration of multi-omics liquid biopsy approaches for multi-cancer early detection: The PROMISE study.	10.1016/j.xinn.2025.101076	Innovation (Cambridge (Mass.))	2026	multi_cancer	cfDNA_methylation	diagnosis	True		0.95
38797230	Prognostic implication of methylation-based circulating tumor DNA detection prior to surgery in stage I non-small cell lung cancer.	10.1016/j.canlet.2024.216984	Cancer letters	2024	lung	other	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
39766220	NALCN Promoter Methylation as a Biomarker for Metastatic Risk in a Cohort of Non-Small Cell Lung Cancer Patients.	10.3390/biom14121514	Biomolecules	2024	lung	cfDNA_methylation	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
33144898	Cell-free nucleic acid patterns in disease prediction and monitoring-hype or hope?	10.1007/s13167-020-00226-x	The EPMA journal	2020	other	other	diagnosis	False	No cancer mention	0.0
39165498	Development and validation of an integrated system for lung cancer screening and post-screening pulmonary nodules management: a proof-of-concept study (ASCEND-LUNG).	10.1016/j.eclinm.2024.102769	EClinicalMedicine	2024	lung	cfDNA_methylation	screening	True		1.0
29410677	Development of a Method to Implement Whole-Genome Bisulfite Sequencing of cfDNA from Cancer Patients and a Mouse Tumor Model.	10.3389/fgene.2018.00006	Frontiers in genetics	2018	lung	cfDNA_methylation	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
33922189	Eps15 Homology Domain-Containing Protein 3 Hypermethylation as a Prognostic and Predictive Marker for Colorectal Cancer.	10.3390/biomedicines9050453	Biomedicines	2021	lung	other	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
38856716	Noninvasive Lung Cancer Subtype Classification Using Tumor-Derived Signatures and cfDNA Methylome.	10.1158/2767-9764.CRC-23-0564	Cancer research communications	2024	lung	cfDNA_methylation	diagnosis	True		0.7
39518079	The Evidence Base for Circulating Tumor DNA-Methylation in Non-Small Cell Lung Cancer: A Systematic Review and Meta-Analysis.	10.3390/cancers16213641	Cancers	2024	lung	cfDNA_methylation	diagnosis	False	Review/meta-analysis/editorial: matched '\bsystematic review\b'	0.0
35450968	Universal lung epithelium DNA methylation markers for detection of lung damage in liquid biopsies.	10.1183/13993003.03056-2021	The European respiratory journal	2022	lung	cfDNA_methylation	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
31546933	Subtyping Lung Cancer Using DNA Methylation in Liquid Biopsies.	10.3390/jcm8091500	Journal of clinical medicine	2019	lung	cfDNA_methylation	diagnosis	True		0.8
39118954	Circulating tumour DNA analysis for early detection of lung cancer: a systematic review.	10.21037/atm-23-1572	Annals of translational medicine	2024	lung	cfDNA_methylation	diagnosis	False	Review/meta-analysis/editorial: matched '\bsystematic review\b'	0.0
41077273	Pulmonary nodules: A study on combined diagnostic methods and therapeutic evaluation.	10.1016/j.cca.2025.120647	Clinica chimica acta; international journal of clinical chemistry	2026	lung	cfDNA_methylation	screening	True		1.0
39233043	Evaluation and integration of cell-free DNA signatures for detection of lung cancer.	10.1016/j.canlet.2024.217216	Cancer letters	2024	lung	cfDNA_methylation	screening	True		1.0
40847031	A prediction model based on cfDNA concentration and cfDNA methylation biomarkers for lung cancer detection.	10.1038/s41598-025-15273-5	Scientific reports	2025	lung	cfDNA_methylation	diagnosis	True		0.7
40897746	Development and validation of a methylation-specific droplet digital PCR multiplex for lung cancer detection.	10.1038/s41598-025-15228-w	Scientific reports	2025	lung	other	diagnosis	True		0.4
39748775	Combination of Hotspot Mutations With Methylation and Fragmentomic Profiles to Enhance Multi-Cancer Early Detection.	10.1002/cam4.70575	Cancer medicine	2025	lung	cfDNA_methylation	diagnosis	True		0.95
32150897	DNA Methylation-Based Testing in Liquid Biopsies as Detection and Prognostic Biomarkers for the Four Major Cancer Types.	10.3390/cells9030624	Cells	2020	multi_cancer	cfDNA_methylation	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
35793574	Detection of non-metastatic non-small-cell lung cancer in urine by methylation-specific PCR analysis: A feasibility study.	10.1016/j.lungcan.2022.06.013	Lung cancer (Amsterdam, Netherlands)	2022	lung	other	diagnosis	True		0.5
40468033	A DNA alteration and methylation co-detection method for clinical purpose.	10.1038/s44321-025-00259-7	EMBO molecular medicine	2025	lung	cfDNA_methylation	diagnosis	True		0.95
36461127	Longitudinal monitoring of cell-free DNA methylation in ALK-positive non-small cell lung cancer patients.	10.1186/s13148-022-01387-4	Clinical epigenetics	2022	lung	cfDNA_methylation	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
40457503	Circulating cell-free DNA methylation as biomarker for lung cancer detection: a systematic review and meta-analysis of diagnostic studies.	10.1186/s13643-025-02860-w	Systematic reviews	2025	lung	cfDNA_methylation	screening	False	Review/meta-analysis/editorial: matched '\bsystematic review\b'	0.0
38410586	Cell-free DNA methylation profile potential in the diagnosis of lung squamous cell carcinoma.	10.21037/jtd-23-1827	Journal of thoracic disease	2024	lung	cfDNA_methylation	diagnosis	True		0.8
41242178	Diagnostic utility of urinary cell-free DNA in non-urothelial cancer: a systematic review, meta-analysis, & network meta-analysis.	10.1016/j.ctrv.2025.103047	Cancer treatment reviews	2025	lung	cfDNA_methylation	diagnosis	False	Review/meta-analysis/editorial: matched '\bsystematic review\b'	0.0
33159839	KMT2C promoter methylation in plasma-circulating tumor DNA is a prognostic biomarker in non-small cell lung cancer.	10.1002/1878-0261.12848	Molecular oncology	2021	lung	cfDNA_methylation	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
41331845	Genome-wide methylation analysis of circulating cell-free DNA identifies an episignature in lung cancer: validation of EMP2 as a potential biomarker.	10.1186/s13148-025-02026-4	Clinical epigenetics	2025	lung	cfDNA_methylation	diagnosis	True		0.7
33901468	Alu cell-free DNA concentration, Alu index, and LINE-1 hypomethylation as a cancer predictor.	10.1016/j.clinbiochem.2021.04.021	Clinical biochemistry	2021	lung	cfDNA_methylation	diagnosis	True		0.8
29438522	RAS mutation analysis in circulating tumor DNA from patients with metastatic colorectal cancer: the AGEO RASANC prospective multicenter study.	10.1093/annonc/mdy061	Annals of oncology : official journal of the European Society for Medical Oncology	2018	lung	other	diagnosis	True		0.4
38926407	Deep learning model integrating cfDNA methylation and fragment size profiles for lung cancer diagnosis.	10.1038/s41598-024-63411-2	Scientific reports	2024	lung	cfDNA_methylation	diagnosis	True		1.0
40281631	Plasma cell-free DNA methylation profile before afatinib treatment is associated with progression-free and overall survival of patients with epidermal growth factor receptor gene mutation-positive non-small cell lung cancer.	10.1186/s13148-025-01870-8	Clinical epigenetics	2025	lung	cfDNA_methylation	diagnosis	True		0.7
35126793	A Sight of the Diagnostic Value of Aberrant Cell-Free DNA Methylation in Lung Cancer.	10.1155/2022/9619357	Disease markers	2022	lung	cfDNA_methylation	diagnosis	True		0.7
34830765	Cancer Detection and Classification by CpG Island Hypermethylation Signatures in Plasma Cell-Free DNA.	10.3390/cancers13225611	Cancers	2021	multi_cancer	cfDNA_methylation	diagnosis	True		0.6
37101220	Accurate detection of early-stage lung cancer using a panel of circulating cell-free DNA methylation biomarkers.	10.1186/s40364-023-00486-5	Biomarker research	2023	lung	cfDNA_methylation	early_detection	True		0.87
41194150	The role of dynamic monitoring of plasma cell-free DNA methylation in predicting pathological response in resectable stage IIB-IIIB non-small cell lung cancer: biomarker analyses from a prospective phase II trial.	10.1186/s12916-025-04419-x	BMC medicine	2025	lung	cfDNA_methylation	diagnosis	True		0.95
37598236	Advances in methylation analysis of liquid biopsy in early cancer detection of colorectal and lung cancer.	10.1038/s41598-023-40611-w	Scientific reports	2023	lung	cfDNA_methylation	diagnosis	True		0.9
41074438	Diagnostic Value of CDO1 Promoter Methylation in Lung Cancer via Liquid Biopsy: A Systematic Review and Meta-Analysis.	10.31083/FBL43987	Frontiers in bioscience (Landmark edition)	2025	lung	cfDNA_methylation	early_detection	False	Review/meta-analysis/editorial: matched '\bsystematic review\b'	0.0
35998020	Whole-genome bisulfite sequencing analysis of circulating tumour DNA for the detection and molecular classification of cancer.	10.1002/ctm2.1014	Clinical and translational medicine	2022	lung	other	screening	True		0.5
34800919	Combined multimodal ctDNA analysis and radiological imaging for tumor surveillance in Non-small cell lung cancer.	10.1016/j.tranon.2021.101279	Translational oncology	2022	lung	cfDNA_methylation	diagnosis	True		1.0
35053460	Aberrant Methylation of SLIT2 Gene in Plasma Cell-Free DNA of Non-Small Cell Lung Cancer Patients.	10.3390/cancers14020296	Cancers	2022	lung	cfDNA_methylation	diagnosis	True		0.7
39154541	A blood test measuring DNA methylation of BCAT1 and IKZF1 for detection of lung adenocarcinoma.	10.1016/j.ctarc.2024.100838	Cancer treatment and research communications	2024	lung	cfDNA_methylation	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
30308939	Hypermethylation of CCND2 in Lung and Breast Cancer Is a Potential Biomarker and Drug Target.	10.3390/ijms19103096	International journal of molecular sciences	2018	lung	cfDNA_methylation	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
30261643	Cell-Free DNA Methylation of Selected Genes Allows for Early Detection of the Major Cancers in Women.	10.3390/cancers10100357	Cancers	2018	multi_cancer	cfDNA_methylation	screening	True		0.7
36379302	A method for early diagnosis of lung cancer from tumor originated DNA fragments using plasma cfDNA methylome and fragmentome profiles.	10.1016/j.mcp.2022.101873	Molecular and cellular probes	2022	lung	cfDNA_methylation	early_detection	True		0.77
35600397	Precision Oncology: Artificial Intelligence and DNA Methylation Analysis of Circulating Cell-Free DNA for Lung Cancer Detection.	10.3389/fonc.2022.790645	Frontiers in oncology	2022	lung	cfDNA_methylation	screening	True		1.0
35804466	Evaluating methylation of human ribosomal DNA at each CpG site reveals its utility for cancer detection using cell-free DNA.	10.1093/bib/bbac278	Briefings in bioinformatics	2022	lung	cfDNA_methylation	diagnosis	True		0.7
37330511	Early detection and stratification of lung cancer aided by a cost-effective assay targeting circulating tumor DNA (ctDNA) methylation.	10.1186/s12931-023-02449-8	Respiratory research	2023	lung	blood_protein	screening	True		0.6
38315228	Detection of the DNA methylation of seven genes contribute to the early diagnosis of lung cancer.	10.1007/s00432-023-05588-z	Journal of cancer research and clinical oncology	2024	lung	cfDNA_methylation	early_detection	True		0.97
34422992	Cell-free DNA from bronchoalveolar lavage fluid (BALF): a new liquid biopsy medium for identifying lung cancer.	10.21037/atm-21-2579	Annals of translational medicine	2021	lung	cfDNA_methylation	diagnosis	True		0.8
30010036	5-Hydroxymethylome in Circulating Cell-free DNA as A Potential Biomarker for Non-small-cell Lung Cancer.	10.1016/j.gpb.2018.06.002	Genomics, proteomics & bioinformatics	2018	lung	cfDNA_methylation	diagnosis	True		0.7
37038139	HOXA9 gene promotor methylation and copy number variation of SOX2 and HV2 genes in cell free DNA: A potential diagnostic panel for non-small cell lung cancer.	10.1186/s12885-023-10793-7	BMC cancer	2023	lung	cfDNA_methylation	diagnosis	True		0.7
37027928	Multi-omics integrated circulating cell-free DNA genomic signatures enhanced the diagnostic performance of early-stage lung cancer and postoperative minimal residual disease.	10.1016/j.ebiom.2023.104553	EBioMedicine	2023	lung	cfDNA_methylation	screening	True		1.0
35583893	One sample fits all: a microfluidic-assisted methodology for label-free isolation of CTCs with downstream methylation analysis of cfDNA in lung cancer.	10.1039/d2bm00044j	Biomaterials science	2022	lung	cfDNA_methylation	diagnosis	True		0.95
31775567	DNA methylation biomarkers discovered in silico detect cancer in liquid biopsies from non-small cell lung cancer patients.	10.1080/15592294.2019.1695333	Epigenetics	2020	lung	cfDNA_methylation	diagnosis	True		0.7
39380154	Transformer-based representation learning and multiple-instance learning for cancer diagnosis exclusively from raw sequencing fragments of bisulfite-treated plasma cell-free DNA.	10.1002/1878-0261.13745	Molecular oncology	2024	lung	cfDNA_methylation	diagnosis	True		0.9
34037837	The status of WIF1 methylation in cell-free DNA is associated with the insusceptibility for gefitinib in the treatment of lung cancer.	10.1007/s00432-021-03640-4	Journal of cancer research and clinical oncology	2021	lung	cfDNA_methylation	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
31037156	Non-invasive diagnosis of early-stage lung cancer using high-throughput targeted DNA methylation sequencing of circulating tumor DNA (ctDNA).	10.7150/thno.28119	Theranostics	2019	lung	LDCT	screening	True		0.7
31791387	Early detection of the major male cancer types in blood-based liquid biopsies using a DNA methylation panel.	10.1186/s13148-019-0779-x	Clinical epigenetics	2019	lung	cfDNA_methylation	screening	True		0.8
32759018	Cell-free Chromatin Immunoprecipitation (cfChIP) from blood plasma can determine gene-expression in tumors from non-small-cell lung cancer patients.	10.1016/j.lungcan.2020.07.023	Lung cancer (Amsterdam, Netherlands)	2020	lung	cfDNA_methylation	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
32516173	Long interspersed nuclear element-1 methylation status in the circulating DNA from blood of patients with malignant and chronic inflammatory lung diseases.	10.1097/CEJ.0000000000000601	European journal of cancer prevention : the official journal of the European Cancer Prevention Organisation (ECP)	2021	lung	other	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
41591979	Epigenetic Instability Based Metrics in Cell-Free DNA for Early Cancer Detection.	10.1158/1078-0432.CCR-25-3384	Clinical cancer research : an official journal of the American Association for Cancer Research	2026	lung	cfDNA_methylation	screening	True		0.8
30516882	DNA methylation analysis of selected genes for the detection of early-stage lung cancer using circulating cell-free DNA.	10.17219/acem/84935	Advances in clinical and experimental medicine : official organ Wroclaw Medical University	2019	lung	cfDNA_methylation	early_detection	True		0.77
38961476	Tissue of origin detection for cancer tumor using low-depth cfDNA samples through combination of tumor-specific methylation atlas and genome-wide methylation density in graph convolutional neural networks.	10.1186/s12967-024-05416-z	Journal of translational medicine	2024	lung	cfDNA_methylation	diagnosis	True		1.0
40946553	Clinical translation of ctDNA epigenetic signatures in lung cancer: An integrated strategy for early detection, therapeutic guidance, and prognostic stratification.	10.1016/j.bbrc.2025.152636	Biochemical and biophysical research communications	2025	lung	cfDNA_methylation	diagnosis	True		0.95
41603032	Expanding role of cell-free DNA for the early diagnosis and monitoring of pulmonary diseases.	10.1097/CM9.0000000000003955	Chinese medical journal	2026	lung	cfDNA_methylation	early_detection	True		1.0
32590728	Plasma cell-free DNA methylation combined with tumor mutation detection in prognostic prediction of patients with non-small cell lung cancer (NSCLC).	10.1097/MD.0000000000020431	Medicine	2020	lung	cfDNA_methylation	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
32420067	DNA methylation markers that correlate with occult lymph node metastases of non-small cell lung cancer and a preliminary prediction model.	10.21037/tlcr.2020.03.13	Translational lung cancer research	2020	lung	cfDNA_methylation	diagnosis	True		0.7
31195991	Monitoring of circulating tumor DNA and its aberrant methylation in the surveillance of surgical lung Cancer patients: protocol for a prospective observational study.	10.1186/s12885-019-5751-9	BMC cancer	2019	lung	other	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
41672932	LedX: A novel blood-based early lung cancer detection approach with exceptional accuracy and robustness.	10.1097/CM9.0000000000003972	Chinese medical journal	2026	lung	cfDNA_methylation	screening	True		1.0
31686733	Evaluating NISCH and CDH1 Promoter Hypermethylation in Nonsmokers, Cancer Free Smokers and Lung Cancer Patients: A Case Control Study.	10.1007/s12291-018-0767-5	Indian journal of clinical biochemistry : IJCB	2019	lung	cfDNA_methylation	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
40900780	Case Report: Multi-cancer early detection utilizing blood-based genomics: Single-institution case series of novel cancer screening.	10.3389/fonc.2025.1637999	Frontiers in oncology	2025	lung	cfDNA_methylation	screening	False	Review/meta-analysis/editorial: matched '\bcase report\b'	0.0
33857886	Early ctDNA response to chemotherapy. A potential surrogate marker for overall survival.	10.1016/j.ejca.2021.03.006	European journal of cancer (Oxford, England : 1990)	2021	lung	other	diagnosis	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
41869572	Evaluation of DNA Methylation in TAC1, SOX17, and RASSF1A for the Early Diagnosis of Lung Cancer.	10.2147/CMAR.S573663	Cancer management and research	2026	lung	cfDNA_methylation	early_detection	True		0.97
36563698	Lung cancer screening.	10.1016/S0140-6736(22)01694-4	Lancet (London, England)	2023	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
35253286	Low-dose computed tomography lung cancer screening: Clinical evidence and implementation research.	10.1111/joim.13480	Journal of internal medicine	2022	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
38195644	Radiomics analysis to predict pulmonary nodule malignancy using machine learning approaches.	10.1136/thorax-2023-220226	Thorax	2024	lung	LDCT	screening	True		0.7
35108060	Lung cancer scRNA-seq and lipidomics reveal aberrant lipid metabolism for early-stage diagnosis.	10.1126/scitranslmed.abk2756	Science translational medicine	2022	lung	LDCT	screening	True		0.7
38042167	Low-dose CT screening among never-smokers with or without a family history of lung cancer in Taiwan: a prospective cohort study.	10.1016/S2213-2600(23)00338-7	The Lancet. Respiratory medicine	2024	lung	LDCT	screening	True		0.8
35137543	Lung cancer risk prediction models based on pulmonary nodules: A systematic review.	10.1111/1759-7714.14333	Thoracic cancer	2022	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\bsystematic review\b'	0.0
36634294	Sybil: A Validated Deep Learning Model to Predict Future Lung Cancer Risk From a Single Low-Dose Chest Computed Tomography.	10.1200/JCO.22.01345	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	2023	lung	LDCT	screening	True		1.0
40425545	China Protocol for early screening, precise diagnosis, and individualized treatment of lung cancer.	10.1038/s41392-025-02256-1	Signal transduction and targeted therapy	2025	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
36831662	See Lung Cancer with an AI.	10.3390/cancers15041321	Cancers	2023	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
39994467	Translating premalignant biology to accelerate non-small-cell lung cancer interception.	10.1038/s41568-025-00791-1	Nature reviews. Cancer	2025	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
37487906	Current and Future Perspectives on Computed Tomography Screening for Lung Cancer: A Roadmap From 2023 to 2027 From the International Association for the Study of Lung Cancer.	10.1016/j.jtho.2023.07.019	Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer	2024	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
40027282	Liquid biopsy in detecting early non-small cell lung cancer.	10.1016/j.jlb.2023.100001	The journal of liquid biopsy	2023	lung	cfDNA_methylation	screening	True		1.0
31110349	End-to-end lung cancer screening with three-dimensional deep learning on low-dose chest computed tomography.	10.1038/s41591-019-0447-x	Nature medicine	2019	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\bstate.of.the.art\b'	0.0
34164283	The radiologist's role in lung cancer screening.	10.21037/tlcr-20-924	Translational lung cancer research	2021	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\bsystematic review\b'	0.0
38881114	Screening for Lung Cancer in India: Expert Opinion Statement.	10.59556/japi.72.0373	The Journal of the Association of Physicians of India	2024	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
34289983	Contemporary issues in the implementation of lung cancer screening.	10.1183/16000617.0288-2020	European respiratory review : an official journal of the European Respiratory Society	2021	lung	LDCT	screening	True		0.9
38829053	Clinical Validation of a Cell-Free DNA Fragmentome Assay for Augmentation of Lung Cancer Early Detection.	10.1158/2159-8290.CD-24-0519	Cancer discovery	2024	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\bcommentary\b'	0.0
40957611	Updates in Lung Cancer Screening: A Decade of Evidence.	10.1055/a-2701-9312	Seminars in respiratory and critical care medicine	2025	lung	LDCT	screening	False	Review/meta-analysis/editorial: matched '\bmeta.?analysis\b'	0.0
40380218	A plasma 9-microRNA signature for lung cancer early detection: a multicenter analysis.	10.1186/s40364-025-00787-x	Biomarker research	2025	lung	LDCT	screening	True		0.7
39300939	Advances in early detection of non-small cell lung cancer: A comprehensive review.	10.1002/cam4.70156	Cancer medicine	2024	lung	LDCT	screening	True		0.8
32694594	Rethinking prostate cancer screening: could MRI be an alternative screening test?	10.1038/s41585-020-0356-2	Nature reviews. Urology	2020	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
39341207	A clinically effective model based on cell-free DNA methylation and low-dose CT for risk stratification of pulmonary nodules.	10.1016/j.xcrm.2024.101750	Cell reports. Medicine	2024	lung	cfDNA_methylation	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
36909593	Early Detection of Lung Cancer in the NLST Dataset.	10.1101/2023.03.01.23286632	medRxiv : the preprint server for health sciences	2023	lung	LDCT	screening	True		0.9
35965430	Innovations in thoracic imaging: CT, radiomics, AI and x-ray velocimetry.	10.1111/resp.14344	Respirology (Carlton, Vic.)	2022	lung	LDCT	screening	False	No performance metrics (AUC/sensitivity/specificity) reported	0.0
36832135	Machine Learning System for Lung Neoplasms Distinguished Based on Scleral Data.	10.3390/diagnostics13040648	Diagnostics (Basel, Switzerland)	2023	lung	LDCT	screening	True		0.9
